No,선수명,포지션,투타,생년월일,신장,체중,입단일,계약금,연봉
1,헥터,투수,우투우타,1987.01.26,192cm,93kg,2016년?01월,,1400000000
2,한승택,포수,우투우타,1994.06.21,174cm,76kg,2013년?01월,,31000000
3,최형우,외야수,우투좌타,1983.12.16,179cm,106kg,2016년?11월,100억,1500000000
4,최원준,내야수,우투좌타,1997.03.23,178cm,80kg,2016년?01월,,31000000
5,정용운,투수,좌투좌타,1990.07.06,185cm,84kg,2009년?01월,,31000000
6,임창용,투수,우투우타,1976.06.04,182cm,80kg,2016년?03월,,500000000
7,임기준,투수,좌투좌타,1991.10.08,182cm,75kg,2010년?01월,,37000000
8,임기영,투수,우투우타,1993.04.16,185cm,73kg,2015년?01월,,31000000
9,이인행,내야수,우투좌타,1991.06.30,184cm,78kg,2011년?01월,,31000000
10,이범호,내야수,우투우타,1981.11.25,182cm,93kg,2000년?01월,,650000000
11,이민우,투수,우투우타,1993.02.09,186cm,90kg,2015년?01월,2억 4000만원,27000000
12,이명기,외야수,좌투좌타,1987.12.26,183cm,80kg,2017년?04월,,150000000
13,유재신,외야수,우투우타,1987.11.21,179cm,70kg,2017년?07월,,65000000
14,오준혁,외야수,우투좌타,1992.03.11,187cm,80kg,2015년?05월,,42000000
15,양현종,투수,좌투좌타,1988.03.01,183cm,85kg,2007년?01월,22억5천만원,1500000000
16,안치홍,내야수,우투우타,1990.07.02,178cm,80kg,2009년?01월,,220000000
17,서동욱,내야수,우투양타,1984.03.21,188cm,99kg,2016년?04월,,150000000
18,버나디나,외야수,좌투좌타,1984.06.12,189cm,92kg,2016년?12월,,950000000
19,백용환,포수,우투우타,1989.03.20,180cm,84kg,2008년?01월,,55000000
20,박진태,투수,우투우타,1994.10.19,180cm,85kg,2017년?01월,1억1000만원,27000000
21,문경찬,투수,우투우타,1992.07.08,186cm,90kg,2015년?01월,1억 1000만원,27000000
22,남재현,투수,우투좌타,1996.09.13,182cm,78kg,2016년?01월,,28000000
23,나지완,외야수,우투우타,1985.05.19,182cm,101kg,2008년?01월,40억원,600000000
24,김호령,외야수,우투우타,1992.04.30,178cm,80kg,2015년?01월,,95000000
25,김주형,내야수,우투우타,1985.12.15,185cm,93kg,2004년?01월,,110000000
26,김주찬,외야수,우투우타,1981.03.25,183cm,85kg,2000년?02월,,600000000
27,김윤동,투수,우투우타,1993.04.01,186cm,86kg,2012년?01월,,47000000
28,김세현,투수,우투우타,1987.08.07,188cm,98kg,2017년?07월,,270000000
29,김선빈,내야수,우투우타,1989.12.18,165cm,70kg,2008년?01월,,80000000
30,김민식,포수,우투좌타,1989.06.28,180cm,80kg,2017년?04월,,60000000
31,고효준,투수,좌투좌타,1983.02.08,179cm,73kg,2016년?07월,,80000000
32,고장혁,내야수,우투양타,1990.01.08,183cm,80kg,2013년?01월,,43000000
